Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
131,ZTF18aaqgoqw,0.07986115,0.00308707,z_snid,58178.42983311943,0.001409182,2.791784341652268,-0.4,0.8328171757384553,0.000145931,0.940362504,0.011256552,-3.25e-06,-0.340267745,1.1472533944997676e-10,-0.000121273,-6.17e-15,-2.15e-10,0.012019496,3.1,0,0.2168041728101735,190.458506,68.260587,snia-cosmo,norm,0.0,0.0,2018aik,100.0,,,,,,,,,,,,,,,,,
133,ZTF18aaqjvjr,0.11653354,3.77e-05,z_gal,58243.24381167242,0.000240724,-1.362747188,-0.059778139,0.2203773754408757,7.852546765821535e-06,0.2122497900946365,0.032985059,-2.7e-07,-0.010872515,0.000249764,-1.84e-07,-2.12e-07,1.2425699386564611e-05,0.013055416,3.1,0,0.076250397,189.621716,39.003057,snia-cosmo,norm,1.0,1.0,,100.0,,,,,,,,,,,,,,,,,
134,ZTF18aaqjxid,0.11099255,0.00055046,z_nonSEDm,58251.43084616851,0.00039408,0.2733303885178425,-0.084082707,0.098457719,1.221702140113444e-05,0.1278648319436719,0.030414131,1.1765741991314641e-07,0.000898237,-0.000329323,-2.25e-07,-3.1e-07,-0.000125517,0.031379409,3.1,0,1.223320035017245e-06,200.841643,45.644253,snia-cosmo,norm,1.0,1.0,,100.0,,,,,,,,,,,,,,,,,
136,ZTF18aaqkjuw,0.09659746,2.724e-05,z_gal,58431.79932444001,0.000408065,0.2227628296429432,0.089428107,0.1187884727441996,1.256580410883865e-05,0.1534445565649657,0.030747884,1.1036741552376945e-07,0.001227848,-0.000187751,-5.74e-08,-3.26e-07,-0.000428662,0.013171934,3.1,0,3.7067426080165104e-09,174.793629,56.136345,snia-cosmo,norm,1.0,0.0,2018ibj,100.0,,,,,,,,,,,,,,,,,
137,ZTF18aaqkqxi,0.07610186,2.014e-05,z_gal,58248.99488357014,0.000903812,0.1511631598299649,-0.029750711,0.2708694930588535,2.952857293294573e-05,0.1725730507704224,0.031530167,1.6718379284116571e-06,-0.026666613,-0.000125681,-8.71e-07,-7.5e-07,-0.000589394,0.0189906,3.1,0,0.7716412280931038,167.969103,39.605095,snia,,1.0,1.0,2018bvx,100.0,,,,,,,,,,,,,,,,,
139,ZTF18aaqpjja,0.06233763,1.04e-05,z_gal,58254.22776962641,0.001341898,1.2120680299863535,-0.039228002,0.482700437,9.091166330488622e-05,0.7946112808833918,0.048763102,-6.81e-06,0.297855937,-0.003689296,-4.48e-05,-3.42e-06,0.007113762,0.041185975,3.1,0,0.3457398857524647,122.473493,35.077368,snia-cosmo,norm,0.0,1.0,2018bhw,100.0,,,,,,,,,,,,,,,,,
141,ZTF18aaqpsvo,0.13505192,1.142e-05,z_gal,58250.29847086867,0.000115036,-0.869565262,-0.02446805,0.3616071741198539,5.36422976453199e-06,0.3847845450746637,0.049922132,4.995018350010207e-07,0.002588668,-0.006243616,-9.06e-07,-1.88e-07,0.000880444,0.010518608,3.1,0,0.088253658,199.627167,32.002056,snia-cosmo,norm,1.0,1.0,,100.0,,,,,,,,,,,,,,,,,
145,ZTF18aaqvuhl,0.03113501,1.15e-05,z_gal,58822.94495434878,0.002607698,-1.186136863,0.072546011,0.756030585,0.000225358,0.2132558985497514,0.049137166,-0.000121353,0.01600813,0.009701219,-2.24e-05,-6.93e-06,-0.000991954,0.024619622,3.1,0,0.7198285,239.298488,34.525422,snia,,0.0,1.0,2019xax,100.0,,,,,,,,,,,,,,,,,
148,ZTF18aarbgpc,0.13100161,0.00292617,z_snid,58250.88266147738,0.000313017,0.6956233401152364,-0.388224875,1.015454016,4.320020835133951e-05,1.1050186326848743,1.2797075746311362,-3.03e-05,0.6840142669368228,-0.017948355,-4.03e-05,9.745836606527214e-07,0.010774833,0.024789937,3.1,0,0.6458167680623434,152.462,22.613167,snia-cosmo,norm,0.0,0.0,,100.0,,,,,,,,,,,,,,,,,
154,ZTF18aarktll,0.10010473,0.00317648,z_snid,58256.60178761977,0.000463813,0.4323618957631287,-0.114612186,0.1291195423291355,1.7370177939780835e-05,0.1959240139289285,0.033965673,3.631703096603542e-07,0.002279776,-0.000765948,-1.53e-06,-5e-07,0.001692177,0.01585059,3.1,0,0.096609844,165.61923,34.302406,snia-cosmo,norm,1.0,1.0,2018bqo,100.0,,,,,,,,,,,,,,,,,
